,Name,B/T,B,T
294,Austin Slater,R/R,R,R
295,Mike Yastrzemski,L/L,L,L
296,Joc Pederson,L/L,L,L
297,GUARDIANS,GUARDIANS,GUARDIANS,
298,Logan Allen,R/L,R,L
299,Peyton Battenfield,R/R,R,R
300,Tanner Bibee,R/R,R,R
301,Shane Bieber,R/R,R,R
302,Emmanuel Clase,R/R,R,R
303,Xzavion Curry,R/R,R,R
304,Enyel De Los Santos,R/R,R,R
305,James Karinchak,R/R,R,R
306,Eli Morgan,R/R,R,R
307,Zach Plesac,R/R,R,R
308,Cal Quantrill,L/R,L,R
309,Nick Sandlin,R/R,R,R
310,Trevor Stephan,R/R,R,R
311,Cam Gallagher,R/R,R,R
312,Meibrys Viloria,L/R,L,R
313,Mike Zunino,R/R,R,R
314,Gabriel Arias,R/R,R,R
315,Josh Bell,S/R,S,R
316,Andres Gimenez,L/R,L,R
317,Josh Naylor,L/L,L,L
318,Jose Ramirez,S/R,S,R
319,Amed Rosario,R/R,R,R
320,Will Brennan,L/L,L,L
321,Oscar Gonzalez,R/R,R,R
322,Steven Kwan,L/L,L,L
323,Myles Straw,R/R,R,R
324,MARLINS,MARLINS,MARLINS,
325,Sandy Alcantara,R/R,R,R
326,Matt Barnes,R/R,R,R
327,Huascar Brazoban,R/R,R,R
328,Edward Cabrera,R/R,R,R
329,Dylan Floro,L/R,L,R
330,Braxton Garrett,R/L,R,L
331,Bryan Hoeing,R/R,R,R
332,Jesus Luzardo,L/L,L,L
333,Andrew Nardi,L/L,L,L
334,Steven Okert,L/L,L,L
335,A.J. Puk,L/L,L,L
336,Tanner Scott,R/L,R,L
337,Devin Smeltzer,R/L,R,L
338,Nick Fortes,R/R,R,R
339,Jacob Stallings,R/R,R,R
340,Luis Arraez,L/R,L,R
341,Jon Berti,R/R,R,R
342,Garrett Cooper,R/R,R,R
343,Yuli Gurriel,R/R,R,R
344,Garrett Hampson,R/R,R,R
345,Jean Segura,R/R,R,R
346,Jazz Chisholm Jr.,L/R,L,R
347,Bryan De La Cruz,R/R,R,R
348,Avisail Garcia,R/R,R,R
349,Jesus Sanchez,L/R,L,R
350,Jorge Soler,R/R,R,R
351,METS,METS,METS,
352,Jeff Brigham,R/R,R,R
353,Jose Butto,R/R,R,R
354,Tommy Hunter,R/R,R,R
355,Joey Lucchesi,L/L,L,L
356,Tylor Megill,R/R,R,R
357,Adam Ottavino,S/R,S,R
358,David Peterson,L/L,L,L
359,Brooks Raley,L/L,L,L
360,David Robertson,R/R,R,R
361,Kodai Senga,L/R,L,R
362,Drew Smith,R/R,R,R
363,Jimmy Yacabonis,R/R,R,R
364,Francisco Alvarez,R/R,R,R
365,Tomas Nido,R/R,R,R
366,Pete Alonso,R/R,R,R
367,Brett Baty,L/R,L,R
368,Eduardo Escobar,S/R,S,R
369,Luis Guillorme,L/R,L,R
370,Francisco Lindor,S/R,S,R
371,Jeff McNeil,L/R,L,R
372,Mark Canha,R/R,R,R
373,Starling Marte,R/R,R,R
374,Brandon Nimmo,L/R,L,R
375,Tommy Pham,R/R,R,R
376,Daniel Vogelbach,L/R,L,R
377,NATIONALS,NATIONALS,NATIONALS,
378,Anthony Banda,L/L,L,L
379,Patrick Corbin,L/L,L,L
380,Carl Edwards Jr.,R/R,R,R
381,Kyle Finnegan,R/R,R,R
382,MacKenzie Gore,L/L,L,L
383,Josiah Gray,R/R,R,R
384,Hobie Harris,R/R,R,R
385,Hunter Harvey,R/R,R,R
386,Chad Kuhl,R/R,R,R
387,Erasmo Ramirez,R/R,R,R
388,Mason Thompson,R/R,R,R
389,Thaddeus Ward,R/R,R,R
390,Trevor Williams,R/R,R,R
391,Riley Adams,R/R,R,R
392,Keibert Ruiz,S/R,S,R
393,CJ Abrams,L/R,L,R
394,Jeimer Candelario,S/R,S,R
395,Michael Chavis,R/R,R,R
396,Jeter Downs,R/R,R,R
397,Luis Garcia,L/R,L,R
398,Joey Meneses,R/R,R,R
399,Dominic Smith,L/L,L,L
400,Alex Call,R/R,R,R
401,Stone Garrett,R/R,R,R
402,Victor Robles,R/R,R,R
403,Lane Thomas,R/R,R,R
404,ORIOLES,ORIOLES,ORIOLES,
405,Keegan Akin,L/L,L,L
406,Bryan Baker,R/R,R,R
407,Mike Baumann,R/R,R,R
408,Felix Bautista,R/R,R,R
409,Kyle Bradish,R/R,R,R
410,Yennier Cano,R/R,R,R
411,Danny Coulombe,L/L,L,L
412,Kyle Gibson,R/R,R,R
413,Dean Kremer,R/R,R,R
414,Cionel Perez,R/L,R,L
415,Grayson Rodriguez,L/R,L,R
416,Austin Voth,R/R,R,R
417,Tyler Wells,R/R,R,R
418,James McCann,R/R,R,R
419,Adley Rutschman,S/R,S,R
420,Adam Frazier,L/R,L,R
421,Gunnar Henderson,L/R,L,R
422,Jorge Mateo,R/R,R,R
423,Ryan Mountcastle,R/R,R,R
424,Ryan O'Hearn,L/L,L,L
425,Ramon Urias,R/R,R,R
426,Austin Hays,R/R,R,R
427,Ryan McKenna,R/R,R,R
428,Cedric Mullins,L/L,L,L
429,Anthony Santander,S/R,S,R
430,Terrin Vavra,L/R,L,R
431,MARINERS,MARINERS,MARINERS,
432,Matt Brash,R/R,R,R
433,Luis Castillo,R/R,R,R
434,Diego Castillo,R/R,R,R
435,Chris Flexen,R/R,R,R
436,Logan Gilbert,R/R,R,R
437,Marco Gonzales,L/L,L,L
438,Trevor Gott,R/R,R,R
439,George Kirby,R/R,R,R
440,Penn Murfee,R/R,R,R
441,Tayler Saucedo,L/L,L,L
442,Paul Sewald,R/R,R,R
443,Gabe Speier,L/L,L,L
444,Justin Topa,R/R,R,R
445,Tom Murphy,R/R,R,R
446,Cal Raleigh,S/R,S,R
447,Jose Caballero,R/R,R,R
448,J.P. Crawford,L/R,L,R
449,Ty France,R/R,R,R
450,Sam Haggerty,S/R,S,R
451,Tommy La Stella,L/R,L,R
452,Eugenio Suarez,R/R,R,R
453,Kolten Wong,L/R,L,R
454,Teoscar Hernandez,R/R,R,R
455,Jarred Kelenic,L/L,L,L
456,AJ Pollock,R/R,R,R
457,Julio Rodriguez,R/R,R,R
458,PADRES,PADRES,PADRES,
459,Tom Cosgrove,L/L,L,L
460,Yu Darvish,R/R,R,R
461,Luis Garcia,R/R,R,R
462,Josh Hader,L/L,L,L
463,Tim Hill,R/L,R,L
464,Brent Honeywell,R/R,R,R
465,Ray Kerr,L/L,L,L
466,Seth Lugo,R/R,R,R
467,Nick Martinez,L/R,L,R
468,Joe Musgrove,R/R,R,R
469,Blake Snell,L/L,L,L
470,Michael Wacha,R/R,R,R
471,Steven Wilson,R/R,R,R
472,Austin Nola,R/R,R,R
473,Brett Sullivan,L/R,L,R
474,Xander Bogaerts,R/R,R,R
475,Matt Carpenter,L/R,L,R
476,Jake Cronenworth,L/R,L,R
477,Ha-Seong Kim,R/R,R,R
478,Manny Machado,R/R,R,R
479,Jose Azocar,R/R,R,R
480,Trent Grisham,L/L,L,L
481,Rougned Odor,L/R,L,R
482,Juan Soto,L/L,L,L
483,Fernando Tatis Jr.,R/R,R,R
484,Nelson Cruz,R/R,R,R
485,PHILLIES,PHILLIES,PHILLIES,
486,Jose Alvarado,L/L,L,L
487,Connor Brogdon,R/R,R,R
488,Seranthony Dominguez,R/R,R,R
489,Bailey Falter,R/L,R,L
490,Craig Kimbrel,R/R,R,R
491,Yunior Marte,R/R,R,R
492,Aaron Nola,R/R,R,R
493,Luis F. Ortiz,R/R,R,R
494,Gregory Soto,L/L,L,L
495,Matt Strahm,R/L,R,L
496,Andrew Vasquez,L/L,L,L
497,Taijuan Walker,R/R,R,R
498,Zack Wheeler,L/R,L,R
499,J.T. Realmuto,R/R,R,R
500,Garrett Stubbs,L/R,L,R
501,Alec Bohm,R/R,R,R
502,Kody Clemens,L/R,L,R
503,Josh Harrison,R/R,R,R
504,Edmundo Sosa,R/R,R,R
505,Bryson Stott,L/R,L,R
506,Trea Turner,R/R,R,R
507,Nick Castellanos,R/R,R,R
508,Jake Cave,L/L,L,L
509,Brandon Marsh,L/R,L,R
510,Cristian Pache,R/R,R,R
511,Kyle Schwarber,L/R,L,R
512,PIRATES,PIRATES,PIRATES,
513,David Bednar,L/R,L,R
514,Cody Bolton,R/R,R,R
515,Roansy Contreras,R/R,R,R
516,Jose Hernandez,L/L,L,L
517,Rich Hill,L/L,L,L
518,Colin Holderman,R/R,R,R
519,Mitch Keller,R/R,R,R
520,Dauri Moreta,R/R,R,R
521,Johan Oviedo,R/R,R,R
522,Yohan Ramirez,R/R,R,R
523,Robert Stephenson,R/R,R,R
524,Duane Underwood Jr.,R/R,R,R
525,Vince Velasquez,R/R,R,R
526,Jason Delay,R/R,R,R
527,Austin Hedges,R/R,R,R
528,Rodolfo Castro,S/R,S,R
529,Ke'Bryan Hayes,R/R,R,R
530,Drew Maggi,R/R,R,R
531,Tucupita Marcano,L/R,L,R
532,Mark Mathias,R/R,R,R
533,Carlos Santana,S/R,S,R
534,Ji Hwan Bae,L/R,L,R
535,Connor Joe,R/R,R,R
536,Andrew McCutchen,R/R,R,R
537,Bryan Reynolds,S/R,S,R
538,Jack Suwinski,L/L,L,L
539,RANGERS,RANGERS,RANGERS,
540,Brock Burke,L/L,L,L
541,Jacob deGrom,L/R,L,R
542,Dane Dunning,R/R,R,R
543,Nathan Eovaldi,R/R,R,R
544,Jon Gray,R/R,R,R
545,Andrew Heaney,L/L,L,L
546,Jonathan Hernandez,R/R,R,R
547,Ian Kennedy,R/R,R,R
548,Jose Leclerc,R/R,R,R
549,Martin Perez,L/L,L,L
550,Cole Ragans,L/L,L,L
551,Josh Sborz,R/R,R,R
552,Will Smith,R/L,R,L
553,Jonah Heim,S/R,S,R
554,Sandy Leon,S/R,S,R
555,Josh Jung,R/R,R,R
556,Nathaniel Lowe,L/R,L,R
557,Brad Miller,L/R,L,R
558,Marcus Semien,R/R,R,R
559,Josh H. Smith,L/R,L,R
560,Ezequiel Duran,R/R,R,R
561,Adolis Garcia,R/R,R,R
562,Robbie Grossman,S/L,S,L
563,Travis Jankowski,L/R,L,R
564,Leody Taveras,S/R,S,R
565,Bubba Thompson,R/R,R,R
566,RAYS,RAYS,RAYS,
567,Jason Adam,R/R,R,R
568,Jalen Beeks,L/L,L,L
569,Zack Burdi,R/R,R,R
570,Yonny Chirinos,R/R,R,R
571,Garrett Cleavinger,R/L,R,L
572,Zach Eflin,R/R,R,R
573,Pete Fairbanks,R/R,R,R
574,Calvin Faucher,R/R,R,R
575,Josh Fleming,L/L,L,L
576,Kevin Kelly,R/R,R,R
577,Shane McClanahan,L/L,L,L
578,Colin Poche,L/L,L,L
579,Drew Rasmussen,R/R,R,R
580,Christian Bethancourt,R/R,R,R
581,Francisco Mejia,S/R,S,R
582,Yandy Diaz,R/R,R,R
583,Wander Franco,S/R,S,R
584,Brandon Lowe,L/R,L,R
585,Isaac Paredes,R/R,R,R
586,Taylor Walls,S/R,S,R
587,Randy Arozarena,R/R,R,R
588,Josh Lowe,L/R,L,R
589,Manuel Margot,R/R,R,R
590,Luke Raley,L/R,L,R
591,Harold Ramirez,R/R,R,R
592,Jose Siri,R/R,R,R
593,REDS,REDS,REDS,
594,Graham Ashcraft,L/R,L,R
595,Luis Cessa,R/R,R,R
596,Fernando Cruz,R/R,R,R
597,Alexis Diaz,R/R,R,R
598,Buck Farmer,L/R,L,R
599,Ian Gibaut,R/R,R,R
600,Hunter Greene,R/R,R,R
601,Derek Law,R/R,R,R
602,Nick Lodolo,L/L,L,L
603,Reiver Sanmartin,L/L,L,L
604,Lucas Sims,R/R,R,R
605,Luke Weaver,R/R,R,R
606,Alex Young,L/L,L,L
607,Curt Casali,R/R,R,R
608,Luke Maile,R/R,R,R
609,Tyler Stephenson,R/R,R,R
610,Jose Barrero,R/R,R,R
611,Jonathan India,R/R,R,R
612,Kevin Newman,R/R,R,R
613,Spencer Steer,R/R,R,R
614,Stuart Fairchild,R/R,R,R
615,Jake Fraley,L/L,L,L
616,TJ Friedl,L/L,L,L
617,Wil Myers,R/R,R,R
618,Henry Ramos,S/R,S,R
619,Nick Senzel,R/R,R,R
620,REDSOX,REDSOX,REDSOX,
621,Brennan Bernardino,L/L,L,L
622,Richard Bleier,L/L,L,L
623,Ryan Brasier,R/R,R,R
624,Kutter Crawford,R/R,R,R
625,Tanner Houck,R/R,R,R
626,Kenley Jansen,S/R,S,R
627,Corey Kluber,R/R,R,R
628,Kaleb Ort,R/R,R,R
629,Nick Pivetta,R/R,R,R
630,Chris Sale,L/L,L,L
631,John Schreiber,R/R,R,R
632,Garrett Whitlock,R/R,R,R
633,Josh Winckowski,R/R,R,R
634,Reese McGuire,L/R,L,R
635,Connor Wong,R/R,R,R
636,Christian Arroyo,R/R,R,R
637,Triston Casas,L/R,L,R
638,Rafael Devers,L/R,L,R
639,Enrique Hernandez,R/R,R,R
640,Justin Turner,R/R,R,R
641,Enmanuel Valdez,L/R,L,R
642,Jarren Duran,L/R,L,R
643,Rob Refsnyder,R/R,R,R
644,Raimel Tapia,L/L,L,L
645,Alex Verdugo,L/L,L,L
646,Masataka Yoshida,L/R,L,R
647,ROCKIES,ROCKIES,ROCKIES,
648,Daniel Bard,R/R,R,R
649,Jake Bird,R/R,R,R
650,Ty Blach,R/L,R,L
651,Noah Davis,R/R,R,R
652,Ryan Feltner,R/R,R,R
653,Kyle Freeland,L/L,L,L
654,Austin Gomber,L/L,L,L
655,Brad Hand,L/L,L,L
656,Pierce Johnson,R/R,R,R
657,Dinelson Lamet,R/R,R,R
658,Justin Lawrence,R/R,R,R
659,German Marquez,R/R,R,R
660,Brent Suter,L/L,L,L
661,Elias Diaz,R/R,R,R
662,Brian Serven,R/R,R,R
663,C.J. Cron,R/R,R,R
664,Ryan McMahon,L/R,L,R
665,Mike Moustakas,L/R,L,R
666,Ezequiel Tovar,R/R,R,R
667,Alan Trejo,R/R,R,R
668,Charlie Blackmon,L/L,L,L
669,Kris Bryant,R/R,R,R
670,Harold Castro,L/R,L,R
671,Yonathan Daza,R/R,R,R
672,Brenton Doyle,R/R,R,R
673,Jurickson Profar,S/R,S,R
674,ROYALS,ROYALS,ROYALS,
675,Scott Barlow,R/R,R,R
676,Aroldis Chapman,L/L,L,L
677,Taylor Clarke,R/R,R,R
678,Jose Cuas,R/R,R,R
679,Amir Garrett,R/L,R,L
680,Zack Greinke,R/R,R,R
681,Carlos Hernandez,R/R,R,R
682,Brad Keller,R/R,R,R
683,Jordan Lyles,R/R,R,R
684,Brady Singer,R/R,R,R
685,Josh Staumont,R/R,R,R
686,Josh Taylor,L/L,L,L
687,Ryan Yarbrough,R/L,R,L
688,Freddy Fermin,R/R,R,R
689,Salvador Perez,R/R,R,R
690,Hunter Dozier,R/R,R,R
691,Matt Duffy,R/R,R,R
692,Nicky Lopez,L/R,L,R
693,Michael Massey,L/R,L,R
694,Vinnie Pasquantino,L/L,L,L
695,Bobby Witt Jr.,R/R,R,R
696,Jackie Bradley Jr.,L/R,L,R
697,Kyle Isbel,L/R,L,R
698,MJ Melendez,L/R,L,R
699,Edward Olivares,R/R,R,R
700,Franmil Reyes,R/R,R,R
701,TIGERS,TIGERS,TIGERS,
702,Tyler Alexander,R/L,R,L
703,Matthew Boyd,L/L,L,L
704,Jose Cisnero,R/R,R,R
705,Mason Englert,S/R,S,R
706,Jason Foley,R/R,R,R
707,Tyler Holton,L/L,L,L
708,Alex Lange,R/R,R,R
709,Michael Lorenzen,R/R,R,R
710,Eduardo Rodriguez,L/L,L,L
711,Chasen Shreve,L/L,L,L
712,Spencer Turnbull,R/R,R,R
713,Will Vest,R/R,R,R
714,Joey Wentz,L/L,L,L
715,Eric Haase,R/R,R,R
716,Jake Rogers,R/R,R,R
717,Javier Baez,R/R,R,R
718,Nick Maton,L/R,L,R
719,Zach McKinstry,L/R,L,R
720,Tyler Nevin,R/R,R,R
721,Jonathan Schoop,R/R,R,R
722,Spencer Torkelson,R/R,R,R
723,Akil Baddoo,L/L,L,L
724,Kerry Carpenter,L/R,L,R
725,Riley Greene,L/L,L,L
726,Matt Vierling,R/R,R,R
727,Miguel Cabrera,R/R,R,R
728,TWINS,TWINS,TWINS,
729,Jhoan Duran,R/R,R,R
730,Sonny Gray,R/R,R,R
731,Griffin Jax,R/R,R,R
732,Pablo Lopez,L/R,L,R
733,Jorge Lopez,R/R,R,R
734,Kenta Maeda,R/R,R,R
735,Tyler Mahle,R/R,R,R
736,Jovani Moran,L/L,L,L
737,Emilio Pagan,L/R,L,R
738,Joe Ryan,R/R,R,R
739,Brock Stewart,L/R,L,R
740,Caleb Thielbar,R/L,R,L
741,Ryan Jeffers,R/R,R,R
742,Christian Vazquez,R/R,R,R
743,Carlos Correa,R/R,R,R
744,Joey Gallo,L/R,L,R
745,Nick Gordon,L/R,L,R
746,Jose Miranda,R/R,R,R
747,Jorge Polanco,S/R,S,R
